ID,ANIMAL NAME,PHOTO,PROFILE,PHOTO LOCATION,ORIGINAL ID BY,SEX,TAGGED,PIT TAG,DNA,SAMPLE .,CU SAMPLE,DNA PLATE,WELL,NOTES,AGE,GENERAL LOCATION,DATE TAGGED,DATE DNA TAKEN,TAG 30/09,GENOTYPED,GENOTYPED SAMPLE NO,EXTACTED?,DATE EXTRACTED,DATE GENOTYPED,TAIL,BLOOD,SKIN,FAECES
1150,Punk,TRUE,L & R,,CP,F,TRUE,880106643,TRUE,491,,,,Double tagged! New pit-tag = 001026367043,Adult,SPEC,9/12/2016,9/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,TRUE
1151,Wendy,TRUE,L & R,,CP,F,TRUE,880106692,TRUE,492,,,,,Adult,LAKE,9/12/2016,9/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,TRUE
1152,Marina,TRUE,L & R,,CP,F,TRUE,880106631,TRUE,494,,,,,Juvenile,LAKE,9/12/2016,9/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1153,Scoobydoo,TRUE,L & R,,CP,M,TRUE,880106616,TRUE,495,,,,,Adult,LAKE,9/12/2016,9/12/2016,0,TRUE,,FALSE,,,TRUE,TRUE,FALSE,FALSE
1154,Novita,TRUE,L & R,,CP,M,TRUE,880106622,TRUE,496,,,,,Juvenile,RAINFST,9/12/2016,9/12/2016,0,FALSE,,FALSE,,,TRUE,FALSE,FALSE,TRUE
1155,Papallona,TRUE,L & R,,CP,F,TRUE,880106638,TRUE,498,,,,,Juvenile,RAINFST,9/12/2016,9/12/2016,0,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1156,Beetroot,TRUE,L & R,,CP,F,TRUE,880106663,TRUE,512,,,,,Juvenile,RAINFST,13/12/2016,13/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1157,Basil,TRUE,L & R,,CP,F,TRUE,880106624,TRUE,513,,,,,Juvenile,LAKE,13/12/2016,13/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1158,Pandanus,TRUE,L & R,,CP,F,TRUE,880106635,TRUE,514,,,,,Juvenile,LAKE,13/12/2016,13/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1159,Bruixa,TRUE,L & R,,CP,F,TRUE,880106693,TRUE,515,,,,,Adult,LAKE,13/12/2016,13/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1160,Freddie,TRUE,L & R,,CP,M,TRUE,880106625,TRUE,516,,,,,Juvenile,RAINFST,13/12/2016,13/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1161,Flea,TRUE,L & R,,CP,M,TRUE,880106644,TRUE,517,,,,,Adult,LAKE,13/12/2016,13/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,TRUE
1162,Doughnut,TRUE,L & R,,CP,M,TRUE,880106630,TRUE,519,,,,,Juvenile,PGROUND,13/12/2016,13/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1163,Kiwi,TRUE,L & R,,CP,F,TRUE,880106611,TRUE,520,,,,,Juvenile,PGROUND,13/12/2016,13/12/2016,0,FALSE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1164,Cake,TRUE,L & R,,CP,F,TRUE,880106612,TRUE,522,,,,,Adult,BBABS,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1165,Quesadilla,TRUE,L & R,,CP,F,TRUE,880106647,TRUE,529,,,,,Juvenile,BBABS,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1166,Chili,TRUE,L & R,,CP,M,TRUE,880106672,TRUE,531,,,,,Juvenile,PGROUND,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1167,Raksha,TRUE,L & R,,CP,M,TRUE,880098319,TRUE,536,,,,,Adult,PGROUND,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,FALSE,FALSE,FALSE,TRUE
